State,Sector,Improved_Source_of_Drinking_Water,Piped_Water_into_Dwelling_or_Yard_plot,Broadband,Mass_media,All,Wash_Hands_with_Water_Only,Wash_Hands_with_Water_and_Ash_mud_sand,Wash_Hands_with_Water_and_Soap_detergent,no_Hand_Washing_Facility,Percentage_of_household_which_have_purchased_constructed_any_house_flat_after_31.03.2014,Percentage_of_household_which_have_purchased_constructed_any_house_flat_after_31.03.2014_for_the_first_time,Percentage_of_household_which_have_purchased_constructed_any_house_flat_after_31.03.2014_for_the_first_time_and_owned_that_house_flat_as_on_date_of_survey,*,Acquisition_of_own_house__flat,Business,Displacement_by_development_project,Health_care,Housing_problems___insufficient_land_holding,In_search_of_better_employment,In_search_of_employment,Marriage,Migration_of_parent_earning_member_of_the_family,"Natural_disaster_(drought,flood,_tsunami,_etc.)",Others,Post_retirement,Proximity_to_place_of_work,Scarcity_of_water,"Social_political_problems_(riots,_terrorism,_political_refugee,_bad_law_and_order,_etc.)",Studies,To_take_up_employment___better_employment,Transfer_of_service__contract,Percentage_of_Persons_Who_Used_Mobile_Telephone_with_Active_Sim_Card_at_Least_Once_During_Last_Three_Months_Preceding_the_Date_of_the_Survey
All India,,95.7,35.5,41.8,77.5,100.0,8.4,8.4,81.9,1.4,9.9,49.9,96.6,8.4,4.6,1.1,0.1,0.6,2.4,26.8,15.8,0.1,5.2,0.3,9.6,2.9,0.8,0.4,1.1,9.3,14.5,3.7,83.2
All India,0.0,95.0,24.8,32.1,70.4,100.0,9.8,11.2,77.4,1.7,11.2,47.5,96.5,11.1,1.2,1.6,0.2,0.5,1.5,34.2,19.3,0.1,2.9,0.2,4.8,0.9,0.6,0.2,0.8,9.5,19.1,1.7,80.2
All India,1.0,97.2,61.5,62.4,92.7,100.0,5.1,1.5,92.7,0.6,7.2,57.9,96.7,6.5,8.8,0.5,-,0.7,3.5,17.5,11.4,0.2,8.1,0.4,15.6,5.5,1.2,0.6,1.6,9,8.8,6.1,90.0
Andaman & Nicobar Islands,,98.7,80.6,38.4,93.6,100.0,0.1,0.1,99.8,0.0,9.7,61.9,98.6,3.5,2.4,-,-,-,10.7,43.2,0.5,-,4.1,-,20.4,-,-,-,-,3.6,0.5,14.6,92.3
Andaman & Nicobar Islands,0.0,98.1,69.4,30.7,91.3,100.0,0.0,0.1,99.9,0.0,9.6,65.4,97.7,1.3,-,-,-,-,3.5,79,-,-,-,-,14.5,-,-,-,-,-,-,3,89.8
Andaman & Nicobar Islands,1.0,99.7,98.2,49.4,97.0,100.0,0.3,0.0,99.7,0.0,9.8,56.9,100.0,6.2,3,-,-,-,12.6,33.8,0.6,-,5.2,-,22,-,-,-,-,4.6,0.6,17.7,96.3
Andhra Pradesh,,97.5,30.9,50.6,89.2,100.0,32.3,1.8,63.5,2.3,8.8,69.5,99.0,11,1.5,1.7,-,-,1.1,14,20.8,-,4.2,-,23,1.1,0.9,-,0.5,22,6.5,2.2,87.3
Andhra Pradesh,0.0,96.8,23.0,45.8,86.3,100.0,36.8,2.1,58.6,2.5,9.7,67.0,98.8,11.8,-,2.5,-,-,1.1,19.6,31,-,4.3,-,12.9,0.6,1.1,-,0.9,14.9,9.3,1,85.5
Andhra Pradesh,1.0,99.2,48.6,60.9,95.4,100.0,22.2,1.2,74.6,2.0,7.0,76.8,99.5,10,3.7,0.5,-,-,1.1,5.9,5.8,-,4,-,38,1.9,0.5,-,-,32.4,2.3,3.9,91.3
Arunachal Pradesh,,98.3,66.4,36.6,70.2,100.0,18.2,3.6,74.0,4.2,13.2,83.2,94.9,8.3,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,82.7
Arunachal Pradesh,0.0,97.9,60.7,31.5,66.0,100.0,21.0,4.2,70.0,4.9,12.6,86.2,93.8,9.7,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,79.8
Arunachal Pradesh,1.0,100.0,92.0,55.4,85.5,100.0,5.8,0.9,91.9,1.5,15.4,74.1,98.9,3.6,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,95.7
Assam,,91.6,5.8,22.4,66.3,100.0,7.4,5.9,84.5,2.2,7.3,28.4,95.0,5.4,-,-,-,-,3.3,54.2,10.8,-,2.9,-,16.2,3.9,-,-,-,0.3,7.3,1.1,78.0
Assam,0.0,90.8,3.3,19.2,63.3,100.0,8.0,6.5,83.2,2.4,7.6,27.7,94.9,7,-,-,-,-,-,68,7.3,-,2.1,-,15.5,-,-,-,-,-,7.1,-,76.3
Assam,1.0,97.8,26.5,45.3,87.9,100.0,2.7,1.1,95.7,0.5,5.2,35.9,95.4,3.1,-,-,-,-,14.1,8.8,22.1,-,5.6,-,18.6,16.7,-,-,-,1.3,8.1,4.7,90.1
Bihar,,99.3,13.3,21.8,57.2,100.0,2.6,21.8,74.9,0.7,7.7,42.3,97.5,15,-,-,-,0.6,0.2,41.9,28.9,0.3,0.7,-,1.1,0.1,0.6,-,-,2.6,20,1.5,78.6
Bihar,0.0,99.2,11.7,19.4,54.5,100.0,2.7,23.2,73.3,0.7,7.8,41.7,97.7,19.2,-,-,-,0.7,-,43.5,28.9,0.4,0.7,-,0.2,-,0.7,-,-,2.6,19.3,1.6,77.9
Bihar,1.0,99.9,28.5,43.0,81.2,100.0,1.1,8.1,90.7,0.1,6.5,48.5,95.8,3.3,-,-,-,-,3.6,16.3,28.6,-,-,-,15.8,2.1,-,-,-,1.6,31.1,-,84.3
Chandigarh,,100.0,99.7,82.6,99.1,100.0,0.0,0.0,100.0,0.0,1.5,89.7,97.0,0.3,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,90.2
Chandigarh,0.0,100.0,100.0,73.6,93.2,100.0,0.0,0.0,100.0,0.0,0.3,76.5,100.0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.6
Chandigarh,1.0,100.0,99.6,83.1,99.4,100.0,0.0,0.0,100.0,0.0,1.6,89.9,96.9,0.3,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,90.2
Chhattisgarh,,96.0,24.6,25.1,78.1,100.0,8.1,6.5,81.8,3.5,17.3,77.9,98.2,2.2,-,-,-,-,14.7,10.7,34.7,-,1.2,-,1.4,-,-,-,-,32.4,2.4,2.6,72.0
Chhattisgarh,0.0,94.8,14.5,19.3,73.8,100.0,10.0,8.3,78.0,3.8,18.4,80.4,97.8,2.4,-,-,-,-,-,1.5,44.8,-,0.8,-,-,-,-,-,-,52.9,-,0,68.7
Chhattisgarh,1.0,99.8,57.6,43.6,92.1,100.0,2.0,1.0,94.1,2.9,13.8,67.5,100.0,2,-,-,-,-,30.3,20.5,24,-,1.7,-,2.9,-,-,-,-,10.4,4.9,5.3,82.5
Dadra & Nagar Haveli and Daman & Diu,,99.8,43.6,31.8,86.3,100.0,0.5,0.5,99.1,0.0,2.7,67.1,100.0,1.5,70.2,-,-,-,-,-,4.3,-,-,-,16.6,-,-,-,-,-,8.9,-,91.2
Dadra & Nagar Haveli and Daman & Diu,0.0,99.6,21.1,26.0,83.5,100.0,0.8,1.0,98.2,0.0,5.5,61.3,100.0,1.8,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85.6
Dadra & Nagar Haveli and Daman & Diu,1.0,100.0,61.6,34.9,87.8,100.0,0.2,0.0,99.8,0.0,1.2,81.2,100.0,1.4,62.9,-,-,-,-,-,5.3,-,-,-,20.7,-,-,-,-,-,11.1,-,95.2
Delhi,,100.0,82.7,62.8,93.1,100.0,0.1,0.4,98.8,0.8,2.3,77.9,87.2,5.5,4.7,-,-,-,2.5,35.1,7.9,-,4,1.2,15.9,13.4,0.5,3.8,-,0.6,9.9,0.5,92.1
Delhi,0.0,100.0,70.2,52.9,93.1,100.0,0.0,1.7,98.3,0.0,5.2,27.4,100.0,4.7,-,-,-,-,-,24.7,-,-,25.3,-,25.3,24.7,-,-,-,-,-,-,94.3
Delhi,1.0,100.0,83.0,63.0,93.1,100.0,0.1,0.4,98.8,0.8,2.3,54.9,86.8,5.5,4.8,-,-,-,2.5,35.3,8.1,-,3.5,1.2,15.6,13.1,0.6,3.9,-,0.6,10.2,0.5,92.1
Goa,,99.8,91.9,54.4,98.4,100.0,0.1,0.0,99.8,0.1,3.6,25.0,77.9,14.8,-,-,-,0.4,18.1,38.6,-,-,7,-,9.1,-,-,-,-,-,16.4,10.2,94.4
Goa,0.0,99.6,80.1,53.4,98.2,100.0,0.3,0.1,99.7,0.0,4.1,17.4,100.0,18.6,-,-,-,4,-,1,-,-,-,-,82.2,-,-,-,-,-,12.9,-,97.7
Goa,1.0,100.0,99.6,54.9,98.6,100.0,0.0,0.0,99.9,0.1,3.2,30.7,68.6,14.5,-,-,-,-,20.4,43.4,-,-,7.9,-,-,-,-,-,-,-,16.8,11.5,92.1
Gujarat,,98.0,74.0,49.7,82.1,100.0,7.4,6.7,84.7,1.1,6.2,55.0,98.8,4.5,10.1,-,-,-,1.3,48.5,0.8,-,15.6,0.4,11.6,1.4,0.1,-,0.1,-,1.1,8.6,85.7
Gujarat,0.0,96.8,64.9,40.9,74.4,100.0,10.5,9.9,78.7,1.0,7.3,53.1,99.2,5.7,7.4,-,-,-,-,74.1,-,-,10.2,1.9,0.3,-,-,-,-,-,-,6.2,83.1
Gujarat,1.0,100.0,87.9,60.5,91.6,100.0,2.8,1.9,94.0,1.4,4.9,58.6,98.2,4.3,10.9,-,-,-,1.7,41,1,-,17.2,-,14.9,1.9,0.1,-,0.2,-,1.4,9.3,89.3
Haryana,,99.9,65.9,51.7,90.8,100.0,7.6,2.9,87.1,2.4,7.8,20.3,98.3,1.4,-,-,-,-,18.7,18.4,34.6,-,-,-,-,-,-,-,-,2.2,26.2,-,84.3
Haryana,0.0,100.0,66.1,47.5,90.5,100.0,8.2,4.3,84.2,3.3,9.9,16.1,99.8,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,81.6
Haryana,1.0,99.8,65.4,57.8,91.1,100.0,6.6,0.6,92.1,0.7,4.9,32.4,96.2,1.7,-,-,-,-,19.1,18.8,35.4,-,-,-,-,-,-,-,-,-,26.8,-,88.8
Himachal Pradesh,,98.2,88.1,58.2,98.0,100.0,1.0,2.2,96.7,0.1,6.8,71.3,97.5,5.7,-,-,-,7.8,2.9,30,19.1,-,6.9,-,2.1,-,-,-,-,10.7,18.8,1.7,91.0
Himachal Pradesh,0.0,98.0,87.2,56.5,98.1,100.0,1.0,2.3,96.6,0.1,7.1,75.0,98.1,4.7,-,-,-,1.7,4.5,18,27.3,-,5.1,-,1.4,-,-,-,-,14.9,27,-,90.7
Himachal Pradesh,1.0,99.8,96.9,70.2,97.5,100.0,1.4,0.4,98.2,0.0,5.0,34.3,82.2,8.8,-,-,-,18.8,-,51.3,4.4,-,10,-,3.4,-,-,-,-,3,4.3,4.7,93.7
Jammu & Kashmir,,94.1,65.8,43.3,92.7,100.0,10.1,1.1,85.3,3.5,10.0,75.0,99.2,23.6,4,0.1,-,2,10.8,22.7,2.3,-,2,-,20.6,1.6,-,-,24.1,8,1.6,0.2,85.9
Jammu & Kashmir,0.0,92.5,59.8,37.3,91.3,100.0,12.5,1.4,81.7,4.4,11.1,75.2,99.5,22.5,1,-,-,3.9,22.2,45.9,3.6,-,1,-,1.9,2.2,-,-,-,15.5,2.7,-,84.9
Jammu & Kashmir,1.0,99.7,88.3,61.7,96.8,100.0,1.5,0.1,98.3,0.0,6.4,73.5,97.7,24.6,6.7,0.2,-,0.3,0.7,1.8,1.1,-,2.9,-,37.4,1,-,-,45.8,1.2,0.5,0.4,89.2
Jharkhand,,88.8,9.2,31.8,53.9,100.0,9.5,26.5,63.3,0.7,11.6,63.0,98.1,6.8,0.3,0.2,-,0.8,2.7,35.6,16.3,-,5.1,-,6.8,1.4,3.3,0.3,-,8,17.2,1.9,80.4
Jharkhand,0.0,86.5,2.8,24.2,43.9,100.0,10.8,32.4,55.8,0.9,12.5,63.1,98.9,9.3,-,-,-,-,0.2,52.2,18.5,-,0.5,-,0.2,-,0.2,-,-,12.3,15.5,0.2,77.2
Jharkhand,1.0,97.2,32.4,58.4,88.6,100.0,4.7,5.0,90.3,0.0,8.6,62.3,94.0,4.5,0.8,0.4,-,2.3,7.5,4.7,12.3,-,13.7,-,19.2,3.9,9,0.9,-,-,20.4,4.9,90.8
Karnataka,,96.6,55.6,59.8,93.4,100.0,18.4,4.0,75.7,2.0,6.2,84.5,98.4,10.1,9.5,1.4,-,1.3,4.1,10.5,5.2,0.6,11.3,-,18.2,10.8,1.1,-,0.9,3.9,8.7,8.5,88.5
Karnataka,0.0,95.6,49.9,49.1,91.1,100.0,24.4,5.7,67.2,2.7,7.5,84.4,98.5,9.5,9.3,0.9,-,0,1.2,13.9,4.7,-,8.2,-,19.7,-,-,-,-,10.4,23.9,7.8,86.4
Karnataka,1.0,98.3,65.3,74.3,96.6,100.0,8.0,1.0,90.2,0.7,4.5,84.8,98.0,10.4,9.7,1.5,-,1.9,5.3,9.1,5.4,0.8,12.6,-,17.5,15.2,1.5,-,1.2,1.3,2.4,8.8,91.9
Kerala,,55.2,26.2,76.2,97.5,100.0,5.2,0.2,94.5,0.1,13.8,61.5,97.9,9.5,5.5,0.6,1,-,7.4,12.5,10.6,0.3,11.9,1.3,16.3,0.8,2.4,2.1,0.5,4.3,13.2,9.4,92.2
Kerala,0.0,54.4,19.8,73.6,97.2,100.0,6.4,0.1,93.4,0.1,14.1,57.5,97.6,9,6.5,0.7,2.1,-,11.4,12.6,11,0.2,11.7,2.7,11.1,0.5,2.2,3.7,1.1,5.1,13.3,4.1,90.8
Kerala,1.0,55.9,32.9,78.9,97.7,100.0,4.0,0.2,95.7,0.1,13.4,65.8,98.1,10.1,4.6,0.6,-,-,3.9,12.4,10.3,0.4,12.1,0.1,20.7,1,2.5,0.9,-,3.7,13,13.8,93.5
Ladakh,,99.8,66.5,56.8,99.2,100.0,6.3,1.4,92.2,0.0,9.2,65.7,51.3,1.5,-,-,-,-,-,-,-,-,-,-,66.4,-,-,-,-,-,-,33.6,95.2
Ladakh,0.0,99.8,67.1,59.7,100.0,100.0,7.0,1.6,91.4,0.0,10.0,64.8,50.6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.4
Ladakh,1.0,100.0,61.2,41.9,95.0,100.0,0.4,0.3,99.3,0.0,5.2,74.5,57.1,2.8,-,-,-,-,-,-,-,-,-,-,66.4,-,-,-,-,-,-,33.6,93.7
Lakshadweep,,73.8,2.7,65.0,94.9,100.0,1.1,0.0,98.9,0.0,6.2,79.5,100.0,28.2,-,-,-,-,-,15.3,5.9,-,14.6,-,18.2,0.5,9.4,-,-,1.5,15.3,19.3,90.2
Lakshadweep,0.0,76.5,8.6,51.2,99.2,100.0,0.0,0.0,100.0,0.0,6.2,86.3,100.0,47.2,-,-,-,-,-,30.1,10,-,-,-,24.9,-,8.8,-,-,-,25.1,1,95.6
Lakshadweep,1.0,72.8,0.7,70.2,93.3,100.0,1.5,0.1,98.5,0.0,6.1,77.0,100.0,22.1,-,-,-,-,-,5.2,3.1,-,24.5,-,13.6,0.9,9.8,-,-,2.5,8.7,31.7,87.7
Madhya Pradesh,,91.4,29.5,21.6,68.1,100.0,3.1,11.8,83.6,1.6,15.7,44.3,88.9,6.3,4.1,1.8,-,3,2.4,17.3,30.2,0.5,0.9,-,10.6,7.8,-,0,-,11.6,8.7,1.1,76.3
Madhya Pradesh,0.0,88.4,16.1,13.2,60.0,100.0,3.6,15.2,79.2,2.0,16.4,41.8,91.1,9.6,0.6,-,-,-,3.5,22.8,41.3,-,0.5,-,4,-,-,0,-,14.3,13,-,72.8
Madhya Pradesh,1.0,99.5,65.9,43.4,88.9,100.0,1.6,2.4,95.6,0.5,13.7,52.0,83.1,4.5,8.3,4,-,6.6,1.1,10.6,16.8,1.1,1.5,-,18.5,17.3,-,-,-,8.3,3.4,2.4,85.3
Maharashtra,,95.6,70.1,51.7,87.5,100.0,4.8,4.5,89.5,1.2,11.3,51.2,97.4,5.7,4.8,0.2,-,0.7,3.6,26.5,9.1,-,6.6,1.4,13.2,1.8,1.3,1.4,2.1,9.5,14.3,3.4,86.9
Maharashtra,0.0,92.7,58.6,39.8,81.8,100.0,6.4,7.1,84.9,1.6,13.8,46.0,97.4,7.3,-,-,-,-,1.5,27.9,9.3,-,2.3,-,12.8,3.3,1.3,0,2.9,19.6,18.7,0,83.1
Maharashtra,1.0,99.9,86.8,67.8,95.1,100.0,2.5,0.6,96.2,0.6,8.0,63.2,97.3,4.9,8.5,0.1,-,1.3,5.1,25.5,8.9,-,9.8,2.4,13.5,0.7,1.4,2.5,1.4,1.7,11,6,92.4
Manipur,,75.6,39.4,50.4,93.9,100.0,19.8,4.3,71.2,4.7,8.1,96.1,99.3,3.5,-,-,-,-,-,-,-,-,-,-,76.1,-,-,-,-,23.9,-,-,89.5
Manipur,0.0,72.4,33.6,47.4,93.0,100.0,23.7,5.9,64.8,5.5,9.0,95.2,99.3,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,88.6
Manipur,1.0,82.5,52.0,56.5,95.6,100.0,11.4,0.7,85.2,2.8,6.4,98.8,99.2,6.5,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,91.3
Meghalaya,,90.0,19.8,37.3,86.9,100.0,11.7,5.5,63.8,19.0,6.3,67.6,55.6,5.1,-,-,-,-,-,11.8,-,25.3,-,-,25.2,25.1,-,-,-,-,-,12.6,76.1
Meghalaya,0.0,88.2,9.6,31.0,84.5,100.0,13.8,6.4,58.3,21.6,7.2,70.1,54.5,0.9,-,-,-,-,-,81.5,-,-,-,-,-,-,-,-,-,-,-,18.5,73.1
Meghalaya,1.0,99.4,73.8,63.8,97.3,100.0,0.8,0.6,93.0,5.6,2.8,39.5,76.8,9.1,-,-,-,-,-,4.7,-,27.9,-,-,27.7,27.7,-,-,-,-,-,12,89.8
Mizoram,,96.5,65.0,51.3,93.4,100.0,6.5,0.3,93.2,0.0,14.7,71.0,99.9,2.6,-,-,-,-,-,32.8,20.5,7.3,-,-,20.5,-,-,-,-,17.8,1.1,-,95.7
Mizoram,0.0,94.5,39.7,35.8,88.8,100.0,10.9,0.5,88.7,0.0,15.0,69.9,100.0,4.8,-,-,-,-,-,42.2,26.4,4.6,-,-,15.5,-,-,-,-,10.4,0.9,-,93.3
Mizoram,1.0,99.0,96.6,69.6,98.8,100.0,1.1,0.1,98.9,0.0,14.5,72.3,99.8,1,-,-,-,-,-,-,-,16.8,-,-,38.1,-,-,-,-,43.5,1.7,-,98.5
Nagaland,,85.3,26.7,50.2,81.1,100.0,19.6,0.2,72.5,7.7,9.7,63.3,99.0,26.6,0.1,0.2,-,0,0,6.1,28.6,-,0.8,-,4.1,2,2.4,0,-,31.3,17.8,6.6,76.4
Nagaland,0.0,81.0,21.7,43.8,76.2,100.0,22.2,0.3,69.6,7.8,10.6,63.7,99.2,31.2,0.1,-,-,0.1,-,4.9,26.4,-,1.2,-,3,-,2.7,-,-,36.3,20.3,5.1,71.2
Nagaland,1.0,96.3,39.8,65.2,92.7,100.0,12.7,0.1,79.9,7.4,7.6,62.0,98.1,21.2,-,0.5,-,-,0,8.3,32.4,-,-,-,6.1,5.4,1.7,0.1,-,22.6,13.6,9.3,88.7
Odisha,,92.8,13.5,30.0,62.3,100.0,22.6,14.6,61.9,0.9,16.3,43.0,92.1,12,2.9,0.3,0.2,-,-,19.2,30,0.2,1.8,-,6.2,5,0.3,-,-,15.4,13.1,4.6,72.6
Odisha,0.0,91.8,6.4,24.8,58.1,100.0,24.9,15.8,58.2,1.1,17.7,41.5,91.3,13.8,-,-,0.3,-,-,21.5,36.6,-,-,-,4.2,4.9,0.1,-,-,17.8,11.3,2.3,70.1
Odisha,1.0,98.4,52.7,56.9,84.2,100.0,10.3,7.6,82.1,0.0,9.4,58.1,97.5,7.8,14.5,1.5,-,-,-,9.8,3.5,1.2,9.2,-,14.2,5.1,0.7,-,-,5.5,20,13.9,85.7
Puducherry,,99.2,94.0,70.1,99.7,100.0,18.9,0.7,79.3,1.1,9.3,96.1,97.1,12,53.1,-,-,-,-,-,-,-,-,-,21.8,-,-,-,-,5.8,19.3,-,94.0
Puducherry,0.0,100.0,98.7,60.9,99.8,100.0,30.8,0.3,68.9,0.0,9.0,95.9,98.3,14.8,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.6
Puducherry,1.0,98.7,91.4,74.8,96.1,100.0,12.3,1.0,85.0,1.7,9.4,96.3,96.4,11.5,42.9,-,-,-,-,-,-,-,-,-,26.5,-,-,-,-,7.1,23.5,-,94.7
Punjab,,99.9,70.4,56.6,95.3,100.0,1.0,0.6,98.2,0.3,7.0,18.0,98.0,2.3,8.2,-,-,-,8.9,28.5,29.7,-,0.3,-,1.3,-,-,-,10,1.9,7.3,4,89.3
Punjab,0.0,100.0,64.0,51.3,94.4,100.0,1.0,0.6,98.0,0.4,8.0,16.7,98.6,1.2,-,-,-,-,-,65,1.5,-,-,-,-,-,-,-,6.3,-,27.1,-,87.4
Punjab,1.0,99.8,80.6,64.0,96.5,100.0,1.0,0.6,98.4,0.0,5.5,20.8,97.1,2.7,9.6,-,-,-,10.4,22.2,34.5,-,0.3,-,1.6,-,-,-,10.6,2.3,3.9,4.7,92.0
Rajasthan,,94.8,48.0,39.1,69.0,100.0,2.7,12.2,84.9,0.2,10.5,58.2,93.2,9.9,1.4,0.5,-,0.1,0,30.3,16.5,0.2,7.4,-,6.3,6,-,-,1.4,17.1,6.6,6.1,81.1
Rajasthan,0.0,93.7,36.5,32.8,61.8,100.0,3.4,15.3,81.1,0.2,12.3,56.9,92.9,10.1,1.1,0.8,-,-,-,41.3,8.2,-,3.5,-,2.1,2.5,-,-,2.3,22,9,7.1,79.1
Rajasthan,1.0,98.5,86.6,57.9,90.7,100.0,0.6,1.8,97.6,0.0,4.9,67.9,95.0,9.7,1.8,-,-,0.2,0.1,15.1,28.1,0.4,12.8,-,12,10.9,-,-,0.1,10.4,3.3,4.8,86.9
Sikkim,,98.9,80.4,69.0,95.4,100.0,3.2,2.5,94.2,0.0,9.0,72.2,96.0,7.6,-,-,-,0.8,-,7.9,6.6,-,-,1,-,60.5,1.8,-,-,8.3,-,13.1,90.7
Sikkim,0.0,98.5,74.6,64.9,93.8,100.0,3.3,2.8,93.9,0.0,10.7,68.8,97.5,2.9,-,-,-,3.1,-,30.9,26.1,-,-,-,-,-,7.1,-,-,32.8,-,-,88.9
Sikkim,1.0,100.0,97.3,77.8,98.7,100.0,3.0,1.7,95.2,0.2,5.1,87.3,91.0,16.9,-,-,-,-,-,-,-,-,-,1.3,-,81.1,-,-,-,-,-,17.6,96.0
Tamil Nadu,,99.6,38.9,59.6,95.9,100.0,22.9,0.8,75.3,1.0,7.9,68.1,99.3,6.8,7.5,-,-,-,1.6,11.6,17,0,4.6,-,9.6,2,0.6,-,-,6.8,35.9,2.8,90.5
Tamil Nadu,0.0,99.7,34.1,47.1,94.2,100.0,32.3,1.1,64.9,1.8,9.7,64.8,99.3,11.3,3,-,-,-,0,12.9,13.4,0,3.4,-,3.6,-,-,-,-,4,59.7,-,87.7
Tamil Nadu,1.0,99.6,44.5,72.8,97.7,100.0,11.9,0.5,87.4,0.1,5.9,73.9,99.4,4.5,13,-,-,-,3.4,10,21.6,-,6.1,-,17.1,4.5,1.3,-,-,10.4,6.2,6.4,93.6
Telangana,,98.9,67.4,45.3,92.6,100.0,17.2,1.3,81.0,0.5,4.3,76.0,99.3,8.5,18.8,-,-,-,1,13.4,13.1,-,7.3,-,3.9,-,0.7,-,0.4,31.4,9.7,0.3,87.0
Telangana,0.0,98.3,62.2,32.0,90.6,100.0,18.8,1.9,78.7,0.7,4.9,77.5,99.5,10.6,4.3,-,-,-,-,24.2,15.9,-,8.6,-,2.6,-,1,-,1.2,19.7,22.4,-,84.7
Telangana,1.0,99.7,75.1,63.2,95.2,100.0,14.8,0.6,84.4,0.2,3.5,73.1,98.9,7.8,25.3,-,-,-,1.5,8.6,11.8,-,6.8,-,4.4,-,0.5,-,-,36.6,4,0.5,90.3
Tripura,,91.7,22.5,23.9,78.5,100.0,9.9,10.3,69.0,10.8,12.2,88.5,100.0,5.3,-,2,-,-,3.2,8.6,-,18.4,-,-,26.5,-,-,-,12.6,14,1,13.8,81.6
Tripura,0.0,89.6,15.2,21.0,75.6,100.0,11.6,12.2,63.4,12.8,11.1,87.1,100.0,4.1,-,-,-,-,6.5,-,-,21.6,-,-,17.3,-,-,-,26,-,-,28.5,79.9
Tripura,1.0,99.3,48.6,33.3,87.7,100.0,3.5,3.4,89.6,3.5,16.0,91.4,100.0,7.3,-,3.9,-,-,-,16.6,-,15.4,-,-,35.1,-,-,-,-,27.1,2,-,87.6
Uttar Pradesh,,99.4,12.1,27.1,60.9,100.0,2.0,10.8,86.0,1.2,9.6,36.4,97.6,10.6,1.2,2.9,-,1.3,1.5,42.2,17.6,0,3.3,-,2.5,2.9,-,-,0.5,2.8,18.3,2.5,79.3
Uttar Pradesh,0.0,99.3,3.2,20.7,54.2,100.0,2.0,13.2,83.4,1.5,10.4,35.1,97.5,12.8,0.1,3.8,-,1.9,-,51.5,17.4,0,1.2,-,0.6,0,-,-,0.7,1.9,19.7,0.6,77.5
Uttar Pradesh,1.0,99.8,46.6,49.4,84.4,100.0,1.9,1.6,96.3,0.2,6.6,43.9,98.2,7.7,3.5,0.8,-,-,4.8,22.2,18,-,7.9,-,6.7,9.3,-,-,0.2,4.8,15.3,6.4,85.8
Uttarakhand,,96.3,48.6,40.0,87.2,100.0,1.8,3.0,93.8,1.4,7.7,36.7,95.0,9.3,1,0.7,-,-,-,23.9,33.3,-,2.6,-,2.6,0.1,1.6,-,1,2.6,8.9,7.9,81.1
Uttarakhand,0.0,95.1,41.4,34.6,84.9,100.0,2.3,3.0,92.8,1.9,8.8,31.7,93.7,12.3,1.3,-,-,-,-,24.6,37.8,-,1.3,-,-,0.1,2,-,1.3,-,10,4.4,78.9
Uttarakhand,1.0,100.0,70.7,55.9,94.1,100.0,0.1,2.9,96.8,0.2,4.4,66.7,98.7,4.8,-,3.5,-,-,-,21.4,15.7,-,7.8,-,12.9,-,-,-,-,12.9,4.6,21.3,87.4
West Bengal,,98.7,17.2,44.8,76.2,100.0,7.3,5.7,85.0,1.9,12.8,29.2,96.8,12.8,6,3.1,-,0,1.3,40.6,8.5,-,3.8,-,4.7,3.2,1.4,-,0.5,4.7,18.2,2.9,85.8
West Bengal,0.0,98.4,7.8,35.8,69.9,100.0,9.2,7.2,81.5,2.1,13.8,28.5,95.9,18.1,0.4,5.1,-,-,0.2,50.4,11.2,-,1.9,-,1.1,-,0.6,-,0.8,4.7,20.8,1.3,83.3
West Bengal,1.0,99.3,40.6,66.2,91.0,100.0,2.8,2.1,93.6,1.4,10.5,31.4,99.3,8.8,14.6,-,-,0.1,2.9,25.5,4.4,-,6.7,-,10.5,8.2,2.7,-,0.1,4.7,14.2,5.3,91.5
